Title,Github URL,Paper URL,Specific URL,Documentation,Dependencies,Special features,Entry Points (Scripts),Execution Command,External Credentials,Dataset Dependency,Terminate
mteb,https://github.com/embeddings-benchmark/mteb,https://arxiv.org/abs/2506.21182,https://arxiv.org/pdf/2506.21182,README in repo,14.0,Benchmarking suite for multilingual text embedding evaluation across 100+ tasks and 112 languages. Includes standardized interface and CLI tools.,mteb (Primary); mteb/cli.py,"PYTHONPATH=. python -c ""import mteb; print(hasattr(mteb, 'MTEB'))"" (source: README → Python API)
PYTHONPATH=. python -m mteb.cli available_tasks (source: README → Using the CLI)
PYTHONPATH=. python -m mteb.cli run -m sentence-transformers/all-MiniLM-L6-v2 -t Banking77Classification --verbosity 3 (source: README → Using the CLI)",None (HF token only if using gated models),Yes — tasks auto-download datasets (can be multiple GB),No
ClearerVoice-Studio,https://github.com/modelscope/ClearerVoice-Studio,https://arxiv.org/abs/2506.19398,https://arxiv.org/pdf/2506.19398,README in repo,17.0,Studio for speech enhancement and denoising using neural vocoders and diffusion. Includes Gradio demo and multiple enhancement pipelines.,clearvoice/demo_Numpy2Numpy.py (Primary); clearvoice (library import),"PYTHONPATH=. python -c ""from clearvoice import ClearVoice; m=ClearVoice(task='speech_enhancement', model_names=['FRCRN_SE_16K']); x=m(input_path='samples/input.wav', online_write=False); m.write(x, output_path='samples/output_FRCRN_SE_16K.wav')"" (source: README → ClearVoice usage)
PYTHONPATH=. python clearvoice/demo_Numpy2Numpy.py (source: example demo script)",,User-provided audio/video files (optional sample assets),Yes
reasoning360,https://github.com/LLM360/Reasoning360,https://arxiv.org/abs/2506.14965,https://arxiv.org/pdf/2506.14965,README,22.0,"Benchmark suite evaluating LLM reasoning across multiple categories and datasets. Includes OpenAI, Mistral, and HuggingFace configs.",examples/eval_reasoning360.py (Primary); scripts/train/example_multinode_rl_qwen2.5_32b_base_fsdp.sh,"PYTHONPATH=. python examples/eval_reasoning360.py --help (source: README → “Evaluation”)
sbatch scripts/train/example_multinode_rl_qwen2.5_32b_base_fsdp.sh (source: README → “RL Training”)
PYTHONPATH=. pytest -q (source: tests/ present)","Optional provider keys (e.g., OPENAI_API_KEY, MISTRAL_API_KEY); HuggingFace token if using gated models",Evaluation datasets auto-download; RL training recommends LLM360/guru-RL-92k from Hugging Face,Yes
FlexRAG,https://github.com/ictnlp/FlexRAG,https://arxiv.org/abs/2506.12494,https://arxiv.org/pdf/2506.12494,README + API,18.0,"Modular Retrieval-Augmented Generation (RAG) framework. Supports flexible retriever/generator combinations, lightweight inference, configurable benchmarks, and document corpora.",python -m flexrag.entrypoints.run_interactive (Primary); python -m flexrag.entrypoints.eval_assistant; python -m flexrag.entrypoints.prepare_retriever; python -m flexrag.entrypoints.add_index; python -m flexrag.entrypoints.cache; python -m flexrag.entrypoints.serve_retriever,"PYTHONPATH=src OPENAI_API_KEY=sk-... python -m flexrag.entrypoints.run_interactive assistant_type=modular modular_config.retriever_type='FlexRAG/enwiki_2021_atlas' modular_config.response_type=original modular_config.generator_type=openai modular_config.openai_config.model_name='gpt-4o-mini' modular_config.openai_config.api_key=$OPENAI_API_KEY modular_config.do_sample=False (source: Docs “Quickstart / Entrypoints”)
PYTHONPATH=src OPENAI_API_KEY=sk-... python -m flexrag.entrypoints.eval_assistant name=nq split=test assistant_type=modular modular_config.retriever_type='FlexRAG/enwiki_2021_atlas' modular_config.response_type=short modular_config.generator_type=openai modular_config.openai_config.model_name='gpt-4o-mini' modular_config.openai_config.api_key=$OPENAI_API_KEY modular_config.do_sample=False eval_config.metrics_type=[retrieval_success_rate,generation_f1,generation_em] log_interval=100 (source: Docs “Evaluate Assistant”)
PYTHONPATH=src python -m flexrag.entrypoints.prepare_retriever input_dir=/path/to/docs output_dir=/path/to/index kind=dense (source: Docs “Prepare Retriever”)
PYTHONPATH=src python -m flexrag.entrypoints.add_index index_dir=/path/to/index (source: Docs “Add Index”)",OPENAI_API_KEY (typical); others optional depending on chosen components,"Uses prebuilt HF retrievers (e.g., FlexRAG/enwiki_2021_atlas) or user-prepared corpora via prepare_retriever/add_index",Yes
FlagEvalMM,https://github.com/flageval-baai/FlagEvalMM,https://arxiv.org/abs/2506.09081,https://arxiv.org/pdf/2506.09081,README + examples,34.0,"Framework for evaluating multi-modal LLMs on vision-language tasks. Supports CLIP, MME, CMMU, SEED-Bench, etc.","Framework for evaluating multi-modal LLMs on vision-language tasks; supports CLIP, MME, CMMU, SEED-Bench and others; runnable demo via main retriever script","PYTHONPATH=. python run_retriever.py --help (source: README/examples)
PYTHONPATH=. python run_retriever.py --model <MODEL_NAME> --dataset <DATASET_NAME> (source: README/examples)","Optional provider keys if using cloud models (e.g., OpenAI/Mistral); Hugging Face token if using gated checkpoints","Requires download of benchmark datasets (e.g., MME, CMMU, SEED-Bench)",Yes
SeerAttention,https://github.com/microsoft/SeerAttention,https://arxiv.org/abs/2506.08889,https://arxiv.org/pdf/2506.08889,README,11.0,"Visual attention analysis toolkit for interpreting transformer-based vision models. Built by Microsoft. Includes demos, evaluation, and visualization.",distillation_prefill.py (Primary); distillation_decode.py ,"PYTHONPATH=. python -c ""from seer_attn import SeerAttnLlamaForCausalLM; import transformers, torch; print('seer_attn import OK')"" (source: README Quick Start)
PYTHONPATH=. python distillation_prefill.py --help (source: distillation_prefill.py)
PYTHONPATH=. python distillation_decode.py --help (source: distillation_decode.py)","Hugging Face token may be required for gated base models (e.g., Meta Llama, DeepSeek)",None fixed; evaluation scripts may download benchmark data as configured,Yes
lightllm,https://github.com/ModelTC/lightllm,https://arxiv.org/abs/2506.03887,https://arxiv.org/pdf/2506.03887,README + scripts,11.0,Lightweight inference library for large language models using FlashAttention2 and Triton.,python -m lightllm.server.api_server (Primary),"PYTHONPATH=. python -m lightllm.server.api_server --model_dir /path/to/Qwen3-8B (source: README “Quick Start”)
curl http://127.0.0.1:8000/generate
 -H ""Content-Type: application/json"" -d '{""inputs"":""What is AI?"",""parameters"":{""max_new_tokens"":17}}' (source: README “Quick Start” endpoint)
PYTHONPATH=. pytest -q test (source: tests/ present)",,None (requires local HF weights in --model_dir),Yes
ShapeLLM-Omni,https://github.com/JAMESYJL/ShapeLLM-Omni/,https://arxiv.org/abs/2506.01853,https://arxiv.org/pdf/2506.01853,README + examples,19.0,"Framework for 3D reconstruction, generation and shape understanding using LLM. Includes ShapeEval, OpenScene, point and mesh format support.",app.py (Primary); examples/ (demo scripts),"PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('app','app.py') else 'missing')"" (source: README → app.py present)
PYTHONPATH=. python app.py (source: README → Inference)
PYTHONPATH=. pytest -q test_3dvqvae.py (source: tests file present)",None (HF token only if using gated models),None (operates on prompts/images; downloads weights on first run),Yes
GSCodec_Studio,https://github.com/JasonLSC/GSCodec_Studio,https://arxiv.org/abs/2506.01822,https://arxiv.org/pdf/2506.01822,README present,16.0,Neural audio codec framework for generative speech compression with transformer models.,main.py (Primary),"PYTHONPATH=. python main.py --help (source: main.py)
PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('main','main.py') else 'missing')"" (source: repo layout)",,User-provided audio inputs (no fixed dataset bundled),Yes
CleanS2S,https://github.com/opendilab/CleanS2S,https://arxiv.org/abs/2506.01268,https://arxiv.org/pdf/2506.01268,README + Training Guide,18.0,Framework for clean and efficient SFT for seq2seq models. Introduces high-quality data filtering and LLM-guided revision.,cleans2s_eval.py (Primary),"PYTHONPATH=. python cleans2s_eval.py --help (source: README → Evaluation)
PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('eval','cleans2s_eval.py') else 'missing')"" (source: repo layout)",None (HF token only if using gated models),User-provided or HF datasets (may auto-download),Yes
OpenPAR,https://github.com/Event-AHU/OpenPAR,https://arxiv.org/abs/2505.23313,https://arxiv.org/pdf/2505.23313,Basic README (no API docs),20.0,"Open-source implementation of 3D pose alignment with detailed modular components for training, evaluation, and visualization; integrates synthetic datasets; supports both transformer and CNN backbones.",main.py (Primary),"PYTHONPATH=. python main.py --help (source: repo layout)
PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('main','main.py') else 'missing')"" (source: repo layout)",,Synthetic datasets integrated; user datasets may be required for training/eval,Yes
360-LLaMA-Factory,https://github.com/Qihoo360/360-LLaMA-Factory,https://arxiv.org/abs/2505.22296,https://arxiv.org/pdf/2505.22296,README in repo,20.0,"Full-stack LLM training/inference suite; integrates LoRA, QLoRA, DPO, PPO, RAG, chat API & WebUI",train_mem.py (Primary); web UI/app scripts (if present),"PYTHONPATH=. python train_mem.py --help (source: README → training usage)
PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('train','train_mem.py') else 'missing')"" (source: repo layout)",,User-provided datasets or Hugging Face datasets (as configured),Yes
rStar,https://github.com/microsoft/rStar,https://arxiv.org/abs/2505.21297,https://arxiv.org/pdf/2505.21297,README present,2.0,Lightweight tool for generating synthetic data using regex-based patterns; supports colorful terminal output for better visualization.,examples/chat_with_tool_call.py (Primary); examples/aime_eval.sh; examples/math500_eval.sh; data_preprocess/aime2024_rstar2_agent_loop.py; data_preprocess/dapo_rstar2_agent_loop.py,"PYTHONPATH=. python examples/chat_with_tool_call.py --help (source: README → “Try rStar2-Agent with Tool Calling / Script Options”)
MODEL_PATH=/path/to/model bash examples/aime_eval.sh (source: README → “Evaluation”)
PYTHONPATH=. python data_preprocess/aime2024_rstar2_agent_loop.py (source: README → “Data Preparation”)",None (may require Hugging Face token for gated models),AIME24/25 and MATH500 auto-download or preprocessed via data_preprocess scripts; training example uses DAPO-17k,Yes
FutureMotion,https://github.com/kit-mrt/future-motion,https://arxiv.org/abs/2505.20414,https://arxiv.org/pdf/2505.20414,README + pyproject.toml + examples,6.0,Real-time trajectory prediction for autonomous driving; multiple prediction horizons; uses lightweight model and OpenDRIVE-based scenarios.,predictor.py (Primary); examples/,"PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('predictor','predictor.py') else 'missing')"" (source: repo layout → predictor.py)
PYTHONPATH=. python predictor.py --help (source: README mentions examples/ and usage around predictor)
PYTHONPATH=. python examples/<example_script>.py (source: examples/ folder)",,Built-in/OpenDRIVE-based scenarios; user-provided scenarios optional,Yes
OpenGait,https://github.com/ShiqiYu/OpenGait,https://arxiv.org/abs/2505.18582,https://arxiv.org/pdf/2505.18582,README in repo,8.0,PyTorch-based gait recognition framework; modular backbone; benchmark-ready,opengait/main.py (Primary); train.sh ,"PYTHONPATH=. python opengait/main.py --cfgs ./configs/gaitbase/gaitbase_da_grew.yaml --phase train (source: opengait/main.py; configs/gaitbase)
PYTHONPATH=. python opengait/main.py --cfgs ./configs/gaitbase/gaitbase_da_grew.yaml --phase test (source: opengait/main.py; configs/gaitbase)
bash train.sh (source: train.sh)",,"Requires prepared gait datasets (CASIA-B, OU-MVLP, GREW, Gait3D); not auto-downloaded",Yes
qiskit-machine-learning,https://github.com/qiskit-community/qiskit-machine-learning,https://arxiv.org/abs/2505.17756,https://arxiv.org/pdf/2505.17756,README + notebooks + examples,35.0,"Quantum-compatible ML toolkit; integrates with Qiskit for quantum kernel methods, variational classifiers, and quantum neural networks.",qiskit_machine_learning (library import) (Primary); docs/tutorials/; examples/,"PYTHONPATH=. python -c ""import qiskit_machine_learning as qml; print(getattr(qml, 'version', 'import_ok'))"" (source: README → library usage)
PYTHONPATH=. pytest -q (source: tests present)",,None (tutorials often use scikit-learn toy datasets),Yes
eval-audio-repr,https://github.com/nttcslab/eval-audio-repr/,https://arxiv.org/abs/2505.15307,https://arxiv.org/pdf/2505.15307,README with basic usage,6.0,Focused benchmark for self-supervised audio representations,inference.py (Primary),"PYTHONPATH=. python inference.py --help (source: README → basic usage)
PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('inference','inference.py') else 'missing')"" (source: repo layout)",,Requires benchmark datasets prepared in expected folder structure; paths must be set before running,Yes
RD-Agent,https://github.com/microsoft/RD-Agent,https://arxiv.org/abs/2505.15155,https://arxiv.org/pdf/2505.15155,README,14.0,RL framework for dialogue agents with retrieval-augmented memory & dynamic policy updates.,rd_agent_main.py (Primary),"python rd_agent_main.py --help (source: README → “Usage”)
PYTHONPATH=. python -c ""import importlib.util as iu; print('ok' if iu.spec_from_file_location('rd_main','rd_agent_main.py') else 'missing')"" (source: repo root → rd_agent_main.py)",OPENAI_API_KEY and/or other provider keys depending on chosen backend,User-provided or referenced benchmarks as configured; may auto-download depending on scripts,Yes
reasoning-boundary,https://github.com/LightChen233/reasoning-boundary,https://arxiv.org/abs/2505.13307,https://arxiv.org/pdf/2505.13307,README,17.0,"Supports both text-based and multimodal datasets; includes evaluation scripts for various reasoning settings (CoT, Tool-Usage, PoT, Complex-CoT, LtM, MARP); provides reproduction of paper results and custom result evaluation; includes visualization scripts for reasoning boundaries.",evaluate.py (Primary),"PYTHONPATH=. python evaluate.py --help (source: file evaluate.py)
PYTHONPATH=. python evaluate.py --config configs/example.yaml (source: README → “Evaluation”)","Optional provider keys (e.g., OpenAI/Mistral) or Hugging Face token if using gated models",Uses evaluation datasets from configs; may auto-download or require local paths depending on task,Yes
LLM4Decompile,https://github.com/albertan017/LLM4Decompile,https://arxiv.org/abs/2505.12668,https://arxiv.org/pdf/2505.12668,README,21.0,Multi-size LLMs (6.7B–22B) for binary-to-source decompilation; GCC/objdump integration; benchmark datasets; configurable optimization levels; reproducible pipeline.,ghidra/demo.py (Primary); evaluation/ (evaluation scripts); train/ (training scripts),"PYTHONPATH=. python ghidra/demo.py (source: README → “Docker setup” → cd ghidra; python demo.py)
PYTHONPATH=. python - <<'PY'\nimport subprocess, os\nprint('GCC/objdump required; demo uses HF model checkpoints')\nPY (source: README → “Quick Start” notes on GCC/objdump and HF models)",None (Hugging Face token only if using gated checkpoints),Built-in evaluation JSON (decompile-eval); optional large training/eval sets from,Yes
RecAI,https://github.com/microsoft/RecAI,https://arxiv.org/abs/2505.03336,https://arxiv.org/pdf/2505.03336,README,34.0,"Modular recommender system framework by Microsoft; pipelines, datasets, notebooks; integration with HuggingFace PEFT/Transformers; reproducible shell scripts and utilities.",main.py (Primary); scripts/; examples/; notebooks/,"PYTHONPATH=. python -c ""import importlib.util; print('ok' if importlib.util.spec_from_file_location('main','main.py') else 'missing')"" (source: repo root layout)
PYTHONPATH=. python main.py --help (source: README → usage)
PYTHONPATH=. pytest -q (source: tests/ present)",None (some pipelines may require provider API keys depending on configuration),User-provided datasets or auto-downloaded benchmarks as configured in examples/scripts,Yes
SigmaRL,https://github.com/bassamlab/SigmaRL,https://arxiv.org/abs/2505.02395,https://arxiv.org/pdf/2505.02395,README in repo,16.0,"Multi-agent reinforcement learning framework with VMAS integration; customizable road scenarios (intersections, roundabouts, merges); safety-critical RL via control barrier functions; supports parallelized simulation and training.",train.py (Primary),"PYTHONPATH=. python train.py --help (source: README → “Usage”)
PYTHONPATH=. python -c ""import importlib.util as iu; print('ok' if iu.spec_from_file_location('train','train.py') else 'missing')"" (source: file path)",,None (uses simulated scenarios; user-configured maps),Yes
CAMELTrack,https://github.com/TrackingLaboratory/CAMELTrack,https://arxiv.org/abs/2505.01257,https://arxiv.org/pdf/2505.01257,README in repo,14.0,"Transformer-based visual tracking framework with CAMEL-based memory module; supports multi-object tracking benchmarks; modular design for dataset loading, model training, and evaluation.",train.py (Primary),"PYTHONPATH=. python train.py --help (source: README → usage)
PYTHONPATH=. python train.py --config configs/<your_config>.yaml (source: README → training/eval pattern)",,Requires prepared tracking datasets per config (benchmark datasets not auto-downloaded),Yes
RAGEN,https://github.com/RAGEN-AI/RAGEN,https://arxiv.org/abs/2504.20073,https://arxiv.org/pdf/2504.20073,README + YAML configs (Hydra/OMC stack),29.0,"Hydra-based configs; multi-backend LLM stack (Transformers/PEFT, Anthropic, planned vLLM); logging via W&B; optional Ray tooling. Based on sets of packages that were installed/checked at startup.",train.py (Primary); scripts/train_all.sh; scripts/setup_ragen.sh,"python train.py (source: Docs “Quick Start Guide” → Training Script)
python train.py trainer.experiment_name=sokoban-ppo-rolloutfilter0.25 actor_rollout_ref.rollout.rollout_filter_ratio=0.25 (source: Docs “Quick Start Guide” → example override)
bash scripts/train_all.sh (source: Docs “Quick Start Guide” → standard experiments)",W&B optional (wandb login); Hugging Face token only if using gated models,Auto-downloads environment assets via setup script; no large fixed dataset,Yes
vision6D,https://github.com/InteractiveGL/vision6D,https://arxiv.org/abs/2504.15329,https://arxiv.org/pdf/2504.15329,README,11.0,"Supports 6D object pose estimation with deep learning and OpenGL-based visualization; includes dataset loaders, evaluation scripts, and rendering tools.",main.py (Primary),"PYTHONPATH=. python -c ""import importlib.util as iu; print('ok' if iu.spec_from_file_location('main','main.py') else 'missing')"" (source: repo layout)
PYTHONPATH=. python main.py --help (source: README → usage pattern with main script)",,Requires prepared 6D pose datasets per configuration; not auto-downloaded,Yes
UFO,https://github.com/microsoft/UFO/,https://arxiv.org/abs/2504.14603,https://arxiv.org/pdf/2504.14603,README,10.0,Implements a unified object detection framework supporting multiple vision tasks; modular configuration with YAML; pretrained model loading and evaluation pipelines.,main.py (Primary),"PYTHONPATH=. python main.py --help (source: README)
PYTHONPATH=. python main.py --config configs/<your_config>.yaml --mode eval --weights /path/to/checkpoint (source: README)",,"User-provided detection datasets per config (e.g., COCO-style); weights may auto-download if configured",Yes
VoxCity,https://github.com/kunifujiwara/VoxCity,https://arxiv.org/abs/2504.13934,https://arxiv.org/pdf/2504.13934,README + ReadTheDocs,36.0,"Seamless framework for integrating open geospatial data and generating grid/voxel 3D city models; auto-downloads buildings/land cover/canopy/DEM; simple simulations (solar, view indices); exports ENVI-met (INX/EDB), MagicaVoxel (VOX), and OBJ.",quick_test_rome.py (Primary),PYTHONPATH=. python quick_test_rome.py (source: README → quick test),,Auto-downloads open geospatial datasets (buildings/land cover/canopy/DEM); may be multi-GB,Yes
LearningHumanoidWalking,https://github.com/rohanpsingh/LearningHumanoidWalking,https://arxiv.org/abs/2504.13619,https://arxiv.org/pdf/2504.13619,README + CLI usage 14 PPO trainer,14.0,"PPO humanoid locomotion with SymmetricEnv mirroring, Ray-based parallel rollouts, MJCF auto-builder for Unitree H1, YAML configs, optional LSTM policy, built-in eval/video logging, supports JVRC & H1.",run_experiment.py (Primary); scripts/debug_stepper.py,"python run_experiment.py train --logdir exp_runs/demo --num_procs 4 --env jvrc_walk (source: README → “To train”)
python run_experiment.py eval --logdir path/to/actor_checkpoint.pt (source: README → “To play”)
PYTHONPATH=.:$PYTHONPATH python scripts/debug_stepper.py --path exp_runs/demo (source: README → debug_stepper for jvrc_step)",,None (simulated environments; MJCF assets under models/),Yes
RuleKit,https://github.com/adaa-polsl/RuleKit,https://arxiv.org/abs/2504.20650,https://arxiv.org/pdf/2504.20650,README + Wiki 4 Interpretable rule-learning toolkit,8.0,"Interpretable rule-based models (readable IF–THEN rules); scikit-learn-style API (fit/predict); pandas-friendly; multiple rule quality measures (C2, Correlation, etc.) for induction/pruning/voting; lightweight, no GPU required",rulekit_quicktest.py (Primary); rulekit (library import),"PYTHONPATH=. python rulekit_quicktest.py (source: file path)
PYTHONPATH=. python -c ""import rulekit; print('rulekit imported')"" (source: package path)",,None (examples use small in-memory/toy datasets),Yes
