Title,Github URL,Description,Main Category,Secondary Category,Tags
GSCodec_Studio,https://github.com/JasonLSC/GSCodec_Studio,Neural audio codec framework for generative speech compression.,Speech Processing,Audio Codec,"Speech, Audio Codec, Compression"
CleanS2S,https://github.com/opendilab/CleanS2S,Framework for clean and efficient SFT for seq2seq models.,LLM Training,Seq2Seq SFT,"Seq2Seq, SFT, Data Filtering"
OpenPAR,https://github.com/Event-AHU/OpenPAR,Implementation of 3D pose alignment; supports transformer & CNN backbones.,3D AI,Pose Alignment,"3D Pose, Alignment, Transformer, CNN"
360-LLaMA-Factory,https://github.com/Qihoo360/360-LLaMA-Factory,"Full-stack LLM training/inference suite with LoRA, DPO, RAG, WebUI.",LLM Training,Full-Stack,"LLM, LoRA, RAG, DPO"
rStar,https://github.com/microsoft/rStar,Tool for generating synthetic data using regex patterns.,Data Generation,Synthetic Data,"Regex, Synthetic Data"
FutureMotion,https://github.com/kit-mrt/future-motion,Real-time trajectory prediction for autonomous driving.,Autonomous Driving,Trajectory Prediction,"Trajectory, Autonomous Driving, Prediction"
OpenGait,https://github.com/ShiqiYu/OpenGait,PyTorch-based gait recognition framework.,Biometrics,Gait Recognition,"Gait Recognition, Biometrics"
qiskit-machine-learning,https://github.com/qiskit-community/qiskit-machine-learning,Quantum-compatible ML toolkit for Qiskit integration.,Quantum ML,Quantum ML Toolkit,"Quantum, ML, Qiskit"
eval-audio-repr,https://github.com/nttcslab/eval-audio-repr/,Benchmark for self-supervised audio representations.,Audio Evaluation,Self-Supervised Audio,"Audio, Self-Supervised, Benchmark"
RD-Agent,https://github.com/microsoft/RD-Agent,RL framework for dialogue agents with RAG memory.,LLM Framework,Dialogue Agent,"RL, Dialogue, RAG Memory"
reasoning-boundary,https://github.com/LightChen233/reasoning-boundary,"Evaluation toolkit for probing reasoning boundaries of LLMs across settings (CoT, Tool-Usage, PoT, Complex-CoT, LtM, MARP) with scripts for paper reproduction and visualization.",LLM Evaluation,Reasoning Benchmark,"Reasoning, CoT, Tool Use, Multimodal, Benchmark, Evaluation, Visualization"
LLM4Decompile,https://github.com/albertan017/LLM4Decompile,"LLM-based decompilation from binaries to source code; integrates GCC/objdump, provides datasets and reproducible pipelines for multiple model sizes (6.7B–22B).",Code Intelligence,Decompilation,"Decompilation, Binary Analysis, GCC, objdump, Transformers, Reproducibility"
RecAI,https://github.com/microsoft/RecAI,"Modular framework for recommender systems with pipelines, datasets, and notebooks; integrates HuggingFace PEFT/Transformers and reproducible scripts.",Recommender Systems,Framework,"Recommender, Pipelines, Datasets, PEFT, Transformers, Notebooks"
SigmaRL,https://github.com/bassamlab/SigmaRL,Multi‑agent reinforcement learning framework with VMAS; customizable road scenarios and safety via control barrier functions; parallel simulation & training.,Reinforcement Learning,Multi‑Agent RL,"Multi-Agent, Traffic, Safety, Control Barrier Functions, VMAS, Parallel Training"
CAMELTrack,https://github.com/TrackingLaboratory/CAMELTrack,"Transformer-based visual tracking with CAMEL memory; supports multi‑object tracking benchmarks; modular dataset loading, training, and evaluation.",Vision AI,Visual Tracking,"Transformer, Memory, MOT, Benchmarks, Training, Evaluation"
RAGEN,https://github.com/RAGEN-AI/RAGEN,"Hydra-configured LLM agent stack with backends (Transformers/PEFT, Anthropic, planned vLLM); logging via W&B and optional Ray tooling.",LLM Framework,Agent Framework,"Agents, Hydra, Transformers, PEFT, vLLM, Weights & Biases, Ray"
vision6D,https://github.com/InteractiveGL/vision6D,"Toolkit for 6D object pose estimation with dataset loaders, evaluation scripts, and OpenGL-based visualization & rendering tools.",Vision AI,6D Pose Estimation,"Pose Estimation, 6D, OpenGL, Datasets, Evaluation, Visualization"
UFO,https://github.com/microsoft/UFO/,"Unified object detection framework supporting multiple vision tasks with YAML configs, pretrained model loading, and evaluation pipelines.",Vision AI,Object Detection,"Detection, YAML Configs, Pretrained Models, Evaluation"
VoxCity,https://github.com/kunifujiwara/VoxCity,"Framework for generating grid/voxel 3D city models from open geospatial data; simple simulations (solar, view indices) and export to ENVI-met, VOX, OBJ.",3D AI,City Modeling (Voxel),"Geospatial, Voxel, Open Data, Simulation, Export"
LearningHumanoidWalking,https://github.com/rohanpsingh/LearningHumanoidWalking,"PPO humanoid locomotion with Ray-based rollouts, MJCF auto-builder for Unitree H1, YAML configs, optional LSTM policy, and built‑in evaluation/video logging.",Robotics & Embodied AI,Humanoid Locomotion (RL),"PPO, Ray, MJCF, Unitree H1, YAML, LSTM, Evaluation"
RuleKit,https://github.com/adaa-polsl/RuleKit,"Interpretable rule‑learning toolkit with scikit‑learn‑style API, pandas integration, and multiple rule quality measures for induction/pruning/voting.",Interpretable ML,Rule‑Based Models,"Explainable AI, IF–THEN Rules, scikit-learn API, Pandas"
MQT QECC,https://github.com/munich-quantum-toolkit/qecc,"CLI decoder for quantum error correction with tensor‑network and MaxSAT backends; supports multiple lattices, Monte Carlo trials, and JSON results.",Quantum ML,Quantum Error Correction (Decoding),"Quantum, QEC, Tensor Networks, MaxSAT, CLI, Monte Carlo"
octgpt,https://github.com/octree-nn/octgpt,Octree‑based 3D tokenization and PyTorch pipeline with SDF sampling utilities; mesh ingestion via OBJ/PLY and YAML‑driven configs.,3D AI,3D Tokenization,"Octree, SDF, Mesh, PyTorch, YAML, CLI"
TensorNEAT,https://github.com/EMI-Group/tensorneat,"JAX‑native NEAT neuroevolution with vectorized/JIT evolution, deterministic seeding, modular operators, and toy benchmarks; optional Brax/Gymnax envs.",Optimization,Neuroevolution (NEAT),"JAX, NEAT, Evolution, JIT, Benchmarks, Brax, Gymnax"
llm4ranking,https://github.com/liuqi6777/llm4ranking,Instruction‑tuned LLM re‑ranking with easy HF encoder replacement; plug‑and‑play with BM25/embeddings and CPU inference out of the box.,Information Retrieval,LLM Re‑Ranking,"Ranking, BM25, Embeddings, HuggingFace, CPU Inference"
"building-assistance-game
",https://github.com/cassidylaidlaw/minecraft-building-assistance-game,"CraftAssist‑based environment where a builder assistant follows language prompts to act; RLlib integration, ready‑made scenarios and metrics.",Reinforcement Learning,Game Environment,"Minecraft, CraftAssist, RLlib, Multi‑Process, Scenarios, Metrics"
Agent-S,https://github.com/simular-ai/Agent-S,"GUI automation via Agent‑Computer Interface with Python SDK/CLI; cross‑platform, supports multiple LLM providers and grounding models; strong OSWorld scores.",LLM Framework,GUI/Web Automation,"Agents, ACI, Automation, Cross‑Platform, OpenAI API"
CrackSQL,https://github.com/weAIDB/CrackSQL,"Hybrid SQL dialect translation with rule engine + optional LLM; Python API, CLI, and Web UI; coverage of many dialects and major RDBMS.",Data Engineering,SQL Translation,"SQL Dialects, SQLGlot, ANTLR, Rules, LLM‑Augmented"
xLAM,https://github.com/SalesforceAIResearch/xLAM,Unified agent‑trajectory schema and ActionStudio training recipes (full FT/LoRA/Distributed); xLAM models compatible with Transformers/vLLM; tool‑call parser plugin.,LLM Training,Agent Training Recipes,"Agents, LoRA, Ray, DeepSpeed, Transformers, vLLM, Datasets"
TerraTorch,https://github.com/IBM/terratorch,"Toolkit for fine‑tuning geospatial foundation models (Hydra + PyTorch Lightning) with TorchGeo integration, GeoTIFF support, and MLflow tracking.",Geospatial AI,Model Fine‑Tuning,"Geospatial, TorchGeo, Hydra, PyTorch Lightning, MLflow, Segmentation"
AgML,https://github.com/Project-AgML/AgML,"Unified API for agricultural ML datasets (classification/detection/segmentation) with loaders, normalization, and Jupyter widgets for quick preview.",Data Management,Dataset Toolkit (Agriculture),"Agriculture, Datasets, Loaders, Annotation, Widgets"
Halton-MaskGIT,https://github.com/valeoai/Halton-MaskGIT,Drop‑in Halton scheduler for MaskGIT that releases tokens quasi‑randomly for better quality/diversity without overtraining.,Vision AI,Image Generation (MaskGIT),"MaskGIT, Halton Scheduler, Image Generation, Sampling, Research"
LLaVA-MORE,https://github.com/aimagelab/LLaVA-MORE,Multimodal LLM recipes compatible with HF/accelerate/datasets; CPU‑friendly setup with PyTorch 2.2 and utilities for pre/post‑processing.,Multimodal LLM,Vision‑Language Models,"LLaVA, Transformers, Datasets, torchvision, timm, SentencePiece"
VenusFactory,https://github.com/ai4protein/VenusFactory,"Unified platform for protein engineering—dataset curation, benchmarks and plug‑and‑play fine‑tuning/inference of protein language models (CLI + simple web UI).",BioAI,Protein Engineering Platform,"Protein LM, Benchmark, Fine‑Tuning, Gradio, Config‑Driven"
SVD-LLM,https://github.com/AIoT-MLSys-Lab/SVD-LLM,Training/inference tricks for LLM efficiency via truncation‑aware whitening + SVD and sequential low‑rank (LoRA/GPTQ‑4bit) updates.,LLM Training,Low‑Rank Adaptation,"SVD, LoRA, GPTQ, Efficiency, Perplexity"
DeTikZify,https://github.com/potamides/DeTikZify,"Converts figures/images to pure TikZ; includes lightweight Gradio WebUI, PDF/PNG assembly and Python API/CLI.",Document AI,Figure Vectorization (TikZ),"TikZ, Gradio, PDF, Vectorization, CLI, Pipeline"
Falcon,https://github.com/TianHuiLab/Falcon,Single‑script VLM inference for satellite imagery description with retrieval‑augmented hints and OpenAI‑compatible API.,Geospatial AI,Image Captioning (VLM),"Remote Sensing, Retrieval, VLM, Inference, Demo Assets"
PyGDA,https://github.com/pygda-team/pygda,Graph Domain Adaptation library with AirportDataset and models like PairAlign; PyTorch + PyG with optional CVXPY optimization.,Graph ML,Domain Adaptation,"PyTorch Geometric, Domain Shift, PairAlign, CVXPY, Datasets"
Open-Sora,https://github.com/hpcaitech/Open-Sora,"End‑to‑end text‑to‑video diffusion pipeline for training and inference; integrates Colossal‑AI, modular YAML configs and video I/O helpers.",Generative Video,Diffusion Pipeline,"Text‑to‑Video, Diffusion, Colossal‑AI, FP16, YAML, Sampling"
RFUAV,https://github.com/kitoweeknd/RFUAV/,RF‑IQ to spectrograms (STFT/Mel) with visualization; modular configs and notebooks for UAV detection/classification baselines.,Sensing AI,RF Signal Classification,"RF, Spectrograms, STFT, Mel, PyTorch, UAV"
napari-nninteractive,https://github.com/MIC-DKFZ/napari-nninteractive,"napari plugin for interactive 2D/3D medical image segmentation with scribbles/brush, nnUNetv2 and HuggingFace model loading.",Medical Imaging,Interactive Segmentation (napari),"napari, nnUNetv2, NIfTI, 3D, Plugin, HuggingFace"
ImageFolde,https://github.com/lxa9867/ImageFolder,Utilities/CLI to reorganize datasets into torchvision.datasets.ImageFolder with train/val/test splits and class_to_idx generation.,Data Management,Dataset Reorganization,"torchvision, ImageFolder, Splits, CLI, class_to_idx"
YOLOE,https://github.com/THU-MIG/yoloe,YOLO‑based detection stack with CLIP/MobileCLIP/OpenCLIP backbones; support for COCO/LVIS and full train/eval/config tooling.,Vision AI,Object Detection (YOLO),"YOLO, CLIP, LVIS, COCO, Training, Evaluation"
InsightFace,https://github.com/deepinsight/insightface,"Full‑featured face analysis suite—detection (RetinaFace), recognition (ArcFace), landmarks/pose/3D and attributes; PyTorch & ONNXRuntime.",Biometrics,Face Analysis Suite,"RetinaFace, ArcFace, Landmarks, Pose, ONNXRuntime, Inference"
K-Radar,https://github.com/kaist-avelab/K-Radar,"Tools/devkit for a 4D radar dataset: parsing/converters, calibration and projections radar↔camera↔LiDAR, visualization (Open3D/Qt) and evaluation.",Sensing AI,4D Radar Dataset & Devkit,"Radar, Calibration, BEV, Open3D, Qt, Multi‑Sensor"
AtomThink,https://github.com/Kun-Xiang/AtomThink,"Research toolkit for LLM pipelines with train/infer scripts, HF/OpenAI integrations and vision stack via timm/mmcv; strict, reproducible pins.",LLM Framework,Research Toolkit,"Accelerate, DeepSpeed, HuggingFace, OpenAI API, timm, mmcv"
Linear-MoE,https://github.com/OpenSparseLLMs/Linear-MoE,Linearized Mixture‑of‑Experts for sparse LLMs; config‑driven scripts on PyTorch/HF and a fast grouped_gemm CUDA kernel.,LLM Training,Sparse MoE,"MoE, Transformers, Accelerate, CUDA, grouped_gemm"
Slow_Thinking_with_LLMs,https://github.com/RUCAIBox/Slow_Thinking_with_LLMs,RL for slow‑thinking (STILL‑3) with code‑integrated/tool‑augmented reasoning; GRPO training and HF datasets/models.,LLM Training,RL for Reasoning,"Reasoning, RL, GRPO, Tools, Datasets, Training"
PaddleMIX,https://github.com/PaddlePaddle/PaddleMIX,"Multimodal model‑zoo (Qwen2/2.5‑VL, InternVL2, LLaVA, SD3/SDXL/ControlNet) with end‑to‑end training & inference pipelines.",Multimodal LLM,Model Zoo & Pipelines,"Qwen2‑VL, InternVL2, LLaVA, Diffusers, Tutorials"
Parlant,https://github.com/emcie-co/parlant/tree/arqs-a-systematic-method-for-optimizing-instruction-following-in-llms,"Production‑grade LLM orchestration: MCP/OpenAPI tools, streaming, local vector DBs (ChromaDB, nano‑vectordb), FastAPI/CLI, observability and scheduling.",LLM Framework,Production Orchestration,"MCP, OpenAPI Tools, ChromaDB, Streaming, FastAPI, Observability"
LiteWebAgent,https://github.com/PathOnAIOrg/LiteWebAgent,"Playwright‑based web agent with LLM (LiteLLM/OpenAI), LlamaIndex/Chroma integrations, multimodality (screenshots/STT) and FastAPI service.",LLM Framework,Web Agent (Playwright),"Playwright, LlamaIndex, Chroma, STT, FastAPI, Logging"
EAGLE,https://github.com/SafeAILab/EAGLE,"Security‑oriented framework for assessing and improving LLMs: red‑teaming scenarios, test suites, Gradio UI and OpenAI/Anthropic/Transformers backends.",AI Safety,Red‑Teaming Framework,"Red Teaming, Safety, Gradio, OpenAI, Anthropic, W&B"
Marco-o1,https://github.com/AIDC-AI/Marco-o1,"Reasoning model inference via Transformers locally or vLLM server; chat clients, HTTP endpoint and modular tree‑search pipeline.",LLM Inference,Reasoning Model & Server,"vLLM, Transformers, Tree Search, HTTP API, Chat"
DCVC-RT,https://github.com/microsoft/DCVC,"Real‑time learned video codec (DCVC‑RT) with CPU/GPU modes; C++/pybind11 acceleration, JSON configs and ffmpeg‑compatible I/O.",Compression,Learned Video Codec,"Video Codec, Real‑Time, pybind11, ffmpeg, Profiles"
HVI-CIDNet,https://github.com/Fediory/HVI-CIDNet,"Human‑vision‑inspired image restoration with ready HF weights, simple CLI (alpha_s/i/gamma) and optional Gradio demo.",Vision AI,Image Restoration,"Image Enhancement, Weights, CLI, Gradio, PyTorch"
UniDepth,https://github.com/lpiccinelli-eth/unidepth,"Universal monocular depth estimation (UniDepth V1/V2) for images/videos; HF weights, timm backbones and CPU fallback mode.",Vision AI,Monocular Depth Estimation,"Depth, Vision, timm, HuggingFace, Inference"
GIFNet,https://github.com/AWCXV/GIFNet,Infrared + Visible image fusion (IVIF) with a simple test script and optional RGB flag for the visible branch.,Vision AI,Image Fusion (IVIF),"Infrared, Visible, Fusion, Test Script, CPU"
KAG,https://github.com/OpenSPG/KAG,Knowledge‑graph application platform via Docker Compose (server + MySQL/MariaDB + Neo4j + MinIO) with hybrid search and REST API.,Knowledge Graph,Platform,"Docker Compose, Neo4j, MinIO, REST API, Hybrid Search"
FinTSB,https://github.com/TongjiFinLab/FinTSB,Unified benchmark for forecasting/classifying financial time series with YAML configs and PyTorch/Sklearn baselines.,Time Series,Financial Benchmark,"Finance, Forecasting, LSTM, Transformer, XGBoost, YAML"
BatteryLife,https://github.com/Ruifeng-Tan/BatteryLife,"Battery life/health prediction pipeline with base models (LSTM/GRU/TCN/Transformer), modular preprocessing and standard metrics.",Time Series,Battery Prognostics,"Battery, LSTM, GRU, TCN, Transformer, RMSE/MAE"
AISafetyLab,https://github.com/thu-coai/AISafetyLab,Modular lab for LLM attacks/defenses/scoring with a single CLI and YAML configs; supports OpenAI/Transformers backends.,AI Safety,Attacks & Defenses,"Safety, AutoDAN, CLI, YAML, OpenAI, Transformers"
SMARTS,https://github.com/huawei-noah/SMARTS,"SUMO‑based traffic simulator with multi‑agent support, rich sensors, headless/GUI modes and Gym/RLlib/SB3 integrations.",Reinforcement Learning,Traffic Simulator (Multi‑Agent),"SUMO, Gym, RLlib, SB3, Sensors, Simulation"
LightThinker,https://github.com/zjunlp/LightThinker,"Anchor‑Thought reasoning pipeline; HF‑based with LoRA/PEFT support, JSON configs/chunking/cache, JSONL outputs and eval scripts.",LLM Training,Reasoning Strategy,"Reasoning, Anchor‑Thought, LoRA, PEFT, JSON Configs, Evaluation"
Helical,https://github.com/helicalAI/helical,"Single‑cell transcriptomics toolkit: HelixmRNA embeddings, AnnData/Scanpy/scIB workflows, clustering and UMAP pipelines (Hydra/Accelerate).",BioAI,Transcriptomics Pipelines,"HelixmRNA, AnnData, Scanpy, UMAP, Hydra, Accelerate"
CBMNet,https://github.com/intelpro/CBMNet,Joint processing of event data and RGB with pretrained checkpoint and neat CLI for batch inference; voxel‑grid preprocessing and timm backbones.,Vision AI,Event+RGB Fusion,"Event Camera, Voxel Grid, timm, Batch Inference, CLI"
MetaDE,https://github.com/EMI-Group/metade,GPU‑accelerated meta‑evolution that auto‑selects strategies/hyperparams for Differential Evolution; JAX & PyTorch backends with EvoX integration.,Optimization,Differential Evolution (Auto‑Strategy),"Evolutionary, JAX, PyTorch, EvoX, Brax, Benchmarks"
RAG-FiT,https://github.com/IntelLabs/RAG-FiT/tree/square,"Hydra‑driven RAG pipelines (processing/inference/evaluation) with CoT/RAR presets, FAISS/Haystack/Qdrant integration and rich metrics (EM/F1/ROUGE/BERTScore).",RAG Framework,Pipelines & Evaluation,"RAG, Hydra, CoT, LoRA, FAISS, Metrics"
contrastors,https://github.com/nomic-ai/contrastors,Mixture‑of‑Experts text embeddings (nomic‑embed‑text‑v2‑moe) with instruction tuning and dimension truncation (“matryoshka”) compatible with FAISS/HF.,Embeddings,Text Embeddings (MoE),"Embeddings, MoE, FAISS, Transformers, Instruction Tuning, Matryoshka"
DPSDA,https://github.com/microsoft/DPSDA,"DP synthetic-data pipeline (prep → train/generate → eval). Hydra/YAML configs, ε–δ accounting, pluggable models; reproducible scripts.",Data Generation,Differential Privacy (Synthetic Data),"Differential Privacy, Synthetic Data, Hydra, ε–δ, Reproducible"
